,ЗП,Ищет работу на должность:,"Город, переезд, командировки",Занятость,График,Последнее/нынешнее место работы,Последняя/нынешняя должность,Обновление резюме,Авто,Образование,Пол,Возраст,Опыт работы месяцев,Город,Готовность к переезду,Готовность к командировкам,Готовность к переезду1,Готовность к командировкам1
1341,35000 руб.,Интернет-маркетолог,"Екатеринбург , готов к переезду (Москва, Нидерланды, Санкт-Петербург, Австралия, Австрия, Чехия, Польша, Люксембург, Норвегия, Бельгия, Великобритания, США, Швеция, Германия, Дания, Финляндия, Испания, Франция, Италия, Сингапур, Швейцария, Кипр, Таиланд,","проектная работа, частичная занятость","удаленная работа, гибкий график",ADWAI Digital,Руководитель Digital и Performance направления,26.04.2019 13:00,Имеется собственный автомобиль,высшее,М,23,54.0,город-миллионник,True,False,True,True
1509,65000 руб.,"Монтажник связи , несущих конструкций, оборудования , точек доступа, Wi-Fi радиолинков, пайка ОВК...","Волжский , готов к переезду (Москва, Австралия, Австрия, Армения, Бельгия, Великобритания, Габон, Германия, Панама, Дания, Израиль, Ирландия, Испания, Италия, Таиланд, Канада, Исландия, Бангладеш, Мальта, Китай, Буркина Фасо, Андорра, Лихтенштейн, Монако,","проектная работа, частичная занятость, полная занятость","вахтовый метод, удаленная работа, гибкий график, полный день, сменный график","ООО ""Невод""  интернет провайдер   PowerNet",Монтажник,07.05.2019 11:37,Не указано,среднее специальное,М,39,182.0,другие,True,False,True,True
1669,40000 руб.,IT-специалист,"Липецк , готов к переезду (Австралия, Австрия, Республика Гватемала, Армения, Бельгия, Великобритания, Габон, Германия, Панама, Уганда, Дания, Израиль, Ирландия, Испания, Италия, Таиланд, Канада, Исландия, Бангладеш, Египет, Мальта, Китай, Буркина Фасо, А","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа","ЭР-Телеком Холдинг, ЗАО",техник сервиса,25.04.2019 22:12,Имеется собственный автомобиль,высшее,М,30,83.0,другие,True,False,True,True
1684,80000 руб.,Инженер,"Полтавка , готов к переезду (Санкт-Петербург, Омск) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Комитет образования Администрации Полтавского муниципального района,"Методист по информационным технологиям, технический специалист",11.04.2019 08:33,Не указано,высшее,М,55,296.0,другие,True,False,True,True
2027,60000 руб.,Менеджер проектов,"Краснодар , готова к переезду (Анапа, Славянск-на-Кубани, Темрюк) , не готова к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа","МАГНИТ, Розничная сеть",Главный специалист,25.04.2019 08:49,Не указано,высшее,Ж,32,130.0,другие,True,False,True,True
2049,70000 руб.,Системный Администратор/Инженер Linux,"Санкт-Петербург ,  м. Купчино , готов к переезду (Нидерланды, Ирландия, Финляндия, Испания, Франция, Австралия, Австрия, Чехия, Польша, Минск, Швейцария, Новая Зеландия, Канада, Эстония, Норвегия, Шотландия, Бельгия, Великобритания, США, Швеция, Латвия, Г","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",STORVERK (ООО Сторверк),Системный администратор / Системный инженер,26.04.2019 10:22,Не указано,высшее,М,38,147.0,Санкт-Петербург,True,False,True,True
2223,35000 руб.,"Электромонтер связи,Электромонтер по ремонту и обслуживанию электрооборудования","Конаково , хочу переехать (Москва, Астраханская область, Санкт-Петербург, Республика Крым, Волгоградская область, Забайкальский край, Рязанская область, Ставропольский край, Нижегородская область, Ленинградская область, Тамбовская область, Воронежская обл",полная занятость,полный день,НМФЦ ФГБУ НИИ ОНКОЛОГИИ им. Петрова,Электромонтер,17.04.2019 17:43,Не указано,неоконченное высшее,М,38,114.0,другие,True,False,True,True
2313,50000 руб.,"Информационная безопасность, аудит.","Калининград , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, удаленная работа",HomeOffice,Консультант по информационной безопасности и управлению информационными технологиями,14.05.2019 14:51,Имеется собственный автомобиль,высшее,М,38,186.0,другие,True,False,True,True
2341,80000 руб.,Системный администратор,"Ижевск , готов к переезду (Москва, Санкт-Петербург, Республика Крым, Республика Башкортостан, Пермский край, Республика Татарстан, Кировская область, Удмуртская Республика) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа","ООО ""Телеком""",Генеральный  директор,09.05.2019 21:31,Имеется собственный автомобиль,высшее,М,48,358.0,другие,True,False,True,True
2352,100000 руб.,"Ведущий программист PHP, тимлид, архитектор","Нижний Новгород ,  м. Автозаводская , готова к переезду (Беларусь, Республика Крым, Украина, Испания, Краснодарский край) , не готова к командировкам","проектная работа, частичная занятость","удаленная работа, гибкий график",Купипасс,backend-программист,22.04.2019 22:27,Имеется собственный автомобиль,высшее,Ж,25,71.0,город-миллионник,True,False,True,True
2386,40000 руб.,Радио-инженер,"Кропоткин , готов к переезду (Москва, Сочи) , не готов к командировкам",полная занятость,полный день,"Краснодарский филиал ООО  ""МАЙКОР""",Инженер по сервисному обслуживанию ККТ,05.04.2019 17:27,Имеется собственный автомобиль,высшее,М,49,291.0,другие,True,False,True,True
2494,60000 руб.,Руководитель IT-отдела,"Краснодар , готов к переезду (Москва, Санкт-Петербург, Сочи) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","полный день, удаленная работа",ГБУЗ ККБ №2,техник ИВЦ,26.04.2019 14:14,Не указано,высшее,М,25,52.0,другие,True,False,True,True
2509,90000 руб.,Руководитель проектов,"Балашиха , готов к переезду (Адлер, Сочи) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа","АО «ЮСАР+""",Ведущий инженер / Руководитель проектов,07.05.2019 10:33,Не указано,высшее,М,27,74.0,другие,True,False,True,True
2541,35000 руб.,Контент-менеджер,"Челябинск , готов к переезду (Екатеринбург, Краснодар, Тюмень) , не готов к командировкам",полная занятость,полный день,RBT.ru,Оператор характеристик,22.04.2019 05:45,Имеется собственный автомобиль,высшее,М,24,30.0,город-миллионник,True,False,True,True
2542,17000 руб.,Специалист по IT,"Кимры , готова к переезду (Москва, Санкт-Петербург) , не готова к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Федеральная налоговая служба (ФНС России),Специалист 1 разряда отдела информационных технологий,25.04.2019 15:04,Не указано,среднее специальное,Ж,23,18.0,другие,True,False,True,True
2749,45000 руб.,Инженер,"Краснодар , готов к переезду (Москва, Нижний Новгород, Краснодар, Казань, Чебоксары, Сочи) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Ростелеком,Кабельщик-спайщик 5 разряда,26.04.2019 08:58,Имеется собственный автомобиль,высшее,М,29,70.0,другие,True,False,True,True
2891,90000 руб.,Руководитель технической службы,"Ростов-на-Дону , готов к переезду (Республика Крым, Хабаровский край, Сахалинская область, Калининградская область, Приморский край) , не готов к командировкам","проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Orange Business Services в России и СНГ (ООО Эквант),Начальник отдела,27.04.2019 13:10,Не указано,высшее,М,46,332.0,город-миллионник,True,False,True,True
2897,45000 руб.,"Дизайнер, Художник, Переводчик","Брянск , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа",АО  Электродеталь,Инженер-технолог,14.05.2019 13:30,Не указано,высшее,М,24,62.0,другие,True,False,True,True
2927,25000 руб.,"Работа с электрооборудованием, инженер связи, консультирование, продажи.","Сыктывкар , готов к переезду (Москва, Ненецкий АО, Санкт-Петербург, Псковская область, Липецкая область, Калужская область, Брянская область, Мурманская область, Орловская область, Смоленская область, Архангельская область, Ленинградская область, Республи","частичная занятость, полная занятость","гибкий график, полный день, сменный график",ОБППСП УМВД России по г. Сыктывкару,Младший специалист группы связи и специальной техники,19.04.2019 15:34,Имеется собственный автомобиль,среднее специальное,М,31,120.0,другие,True,False,True,True
2933,60000 руб.,IT-инженер,"Москва ,  м. Крылатское , готов к переезду (Нидерланды, Чехия, Новая Зеландия, Люксембург, Норвегия, Сербия, США, Швеция, Германия, Дания, Ирландия, Финляндия, Испания, Италия, Швейцария, Кипр, Канада, Исландия, Португалия, Мальта, Лихтенштейн, Черногория",полная занятость,"удаленная работа, гибкий график, полный день, сменный график",ФГПУ РКНПК им. Мясникова,IT-инженер,11.04.2019 10:14,Не указано,высшее,М,26,68.0,Москва,True,False,True,True
3199,45000 руб.,"Дизайнер, Художник, Переводчик","Брянск , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа",АО  Электродеталь,Инженер-технолог,14.05.2019 13:30,Не указано,высшее,М,24,62.0,другие,True,False,True,True
3386,40000 руб.,Системный администратор,"Санкт-Петербург , готов к переезду (Санкт-Петербург, Псков) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график",Пенсионный фонд Российской Федерации,Ведущий специалист-эксперт (группы автоматизации),15.04.2019 09:52,Имеется собственный автомобиль,неоконченное высшее,М,25,69.0,Санкт-Петербург,True,False,True,True
3772,10000 руб.,SEO-специалист,"Барнаул , готов к переезду (Москва, Санкт-Петербург, Ямало-Ненецкий АО, Амурская область, Республика Адыгея, Ярославская область, Нижегородская область, Республика Дагестан, Ленинградская область, Республика Коми, Республика Тыва, Республика Калмыкия, Рес","частичная занятость, полная занятость",полный день,ООО Хорошая идея,СЕО Специлист,11.04.2019 07:14,Имеется собственный автомобиль,высшее,М,38,111.0,другие,True,False,True,True
3781,30000 руб.,Системный администратор,"Екатеринбург , готов к переезду (Россия, Другие страны) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Репаст,Системный администратор,17.04.2019 12:40,Имеется собственный автомобиль,среднее специальное,М,27,36.0,город-миллионник,True,False,True,True
3802,25000 руб.,Системный администратор,"Ростов-на-Дону , хочу переехать (Краснодар, Сочи) , не готов к командировкам",частичная занятость,"гибкий график, удаленная работа","ООО ""Белая Птица-Ростов""",Инженер по администрированию инфраструктуры,16.04.2019 10:20,Не указано,среднее специальное,М,30,88.0,город-миллионник,True,False,True,True
3819,25000 руб.,Инженер-программист,"Михайловка (Волгоградская область) , готов к переезду (Ростовская область, Краснодарский край) , не готов к командировкам",полная занятость,полный день,ГБУЗ Михайловская городская детская больница,Системный администратор/программист,22.04.2019 13:08,Имеется собственный автомобиль,высшее,М,33,129.0,другие,True,False,True,True
3823,50000 руб.,"Специалист сопровождению ПО, по подготовке документов для изготовления ЭП, настройка ПО для ЭП","Магнитогорск , готова к переезду (Москва, Республика Крым, Краснодарский край) , не готова к командировкам",полная занятость,полный день,Администрация города Магнитогорска,Главный специалист отдела информационных ресурсов Управления информационных технологий и телекоммуникаций,12.04.2019 12:14,Имеется собственный автомобиль,высшее,Ж,42,225.0,другие,True,False,True,True
3896,200000 руб.,"Ведущий разработчик Go, тимлид, руководитель группы/отдела разработки","Москва ,  м. Южная , готов к переезду (Греция, Кипр) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",ЗамЗамТекнолоджи,Ведущий разработчик (Golang),26.04.2019 13:54,Не указано,высшее,М,43,224.0,Москва,True,False,True,True
4200,55000 руб.,Веб-программист,"Курск , готов к переезду (Россия, Другие страны) , не готов к командировкам","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, удаленная работа",Группа компаний ЭКАС,Веб-программист,10.05.2019 20:25,Не указано,высшее,М,28,25.0,другие,True,False,True,True
4303,40000 руб.,"PHP разработчик, программист (Junior+, Middle)","Москва , готов к переезду (Беларусь, Кыргызстан, Узбекистан, Россия, Украина, Казахстан, Азербайджан, Другие страны, Грузия) , не готов к командировкам","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",Huckleberry – New Zealand,Produce Assistance,26.11.2018 23:12,Не указано,высшее,М,30,68.0,Москва,True,False,True,True
4333,80000 руб.,Инженер-пусконаладчик,"Москва ,  м. Савеловская , готов к переезду (Санкт-Петербург, Новосибирск, Калининград) , не готов к командировкам",полная занятость,полный день,ООО «Эртел»,Инженер,29.10.2018 09:04,Не указано,среднее специальное,М,24,59.0,Москва,True,False,True,True
4818,40000 руб.,Java-разработчик,"Омск , готов к переезду (Москва, Санкт-Петербург) , не готов к командировкам","проектная работа, полная занятость",полный день,"Информационно-технологическая сервисная компания, ООО",Специалист поддержки бизнес-аналитики,07.05.2019 07:24,Не указано,высшее,М,27,22.0,город-миллионник,True,False,True,True
5055,55000 руб.,"Системный администратор, Специалист IT","Жирновск , готов к переезду (Анапа, Севастополь, Симферополь, Евпатория, Керчь, Феодосия, Волжский, Ялта, Крымск, Ростов-на-Дону, Бахчисарай, Сочи, Алушта, Новороссийск, Астрахань, Судак, Славянск-на-Кубани, Краснодар, Волгоград, Батайск) , готов к команд","частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа","ГУЗ ""Жирновская ЦРБ""",Системный администратор,22.04.2019 16:26,Имеется собственный автомобиль,неоконченное высшее,М,32,152.0,другие,True,False,True,True
5174,120000 руб.,разработчик ПО,"Москва ,  м. Медведково , готов к переезду (США, Чехия, Германия, Кипр) , не готов к командировкам","проектная работа, полная занятость","гибкий график, полный день",Fidesys,Программист,09.04.2019 00:44,Не указано,высшее,М,49,180.0,Москва,True,False,True,True
5238,6000 USD,"Fullstack sofwtare engineer .NET С#, Javascript, NodeJS","Москва , готов к переезду (Финляндия, США, Австралия, Канада, Норвегия) , не готов к командировкам",полная занятость,"полный день, удаленная работа","Trade The News, Inc.",Fullstack software engineer,16.04.2019 11:41,Имеется собственный автомобиль,высшее,М,42,231.0,Москва,True,False,True,True
5251,120000 руб.,Руководитель,"Чебоксары , готов к переезду (Москва, Чебоксары) , не готов к командировкам",полная занятость,полный день,"ООО ""Миракс""",Директор,10.04.2019 14:50,Имеется собственный автомобиль,высшее,М,36,169.0,другие,True,False,True,True
5462,30000 руб.,Системный администратор,"Самара , готов к переезду (Москва, Екатеринбург, Тюмень) , не готов к командировкам",полная занятость,"полный день, сменный график, удаленная работа","Филиал ФГБУ ""ФКП Росреестра"" по Самарской области",Ведущий инженер-программист,07.05.2019 14:44,Не указано,высшее,М,27,67.0,город-миллионник,True,False,True,True
6133,50000 руб.,"Инженер ЛВС, Монтажник ЛВС","Реутов , хочу переехать (Москва, Реутов) , не готов к командировкам","частичная занятость, полная занятость","гибкий график, полный день",Интернет-провайдер «Смайл»,"Электромонтажник ЛВС, инженер ЛВС",19.04.2019 20:41,Не указано,среднее специальное,М,32,221.0,другие,True,False,True,True
6248,40000 руб.,"Руководитель, начальник отдела, инженер","Волжский , готов к переезду (Краснодар, Ростов-на-Дону, Сочи) , не готов к командировкам",полная занятость,полный день,Трубная Металлургическая Компания,инженер-электроник 1 категории,10.04.2019 10:20,Имеется собственный автомобиль,высшее,М,30,143.0,другие,True,False,True,True
6468,350 USD,Junior PHP Developer,"Лунинец , готов к переезду (Минск, Витебск, Гродно, Брест) , не готов к командировкам",полная занятость,полный день,"УО ""Лунинецкий государственный политехнический профессионально-технический колледж""",Инженер-программист,22.04.2019 17:51,Не указано,высшее,М,24,18.0,другие,True,False,True,True
7071,90000 руб.,"Руководитель отдела маркетинга, маркетолог, PR-менеджер, SEO, SMM-специалист.","Санкт-Петербург ,  м. Площадь Восстания , готова к переезду (Беларусь, Другие страны) , не готова к командировкам","частичная занятость, полная занятость","гибкий график, полный день, сменный график, удаленная работа",Авторская стоматологическая клиника «Вашъ Дантистъ»,PR-менеджер&Интернет-маркетолог,22.04.2019 06:49,Не указано,высшее,Ж,28,79.0,Санкт-Петербург,True,False,True,True
7104,50000 руб.,HTML-верстальщик/Junior Frontend-разработчик,"Челябинск , хочу переехать (Москва, Санкт-Петербург) , не готов к командировкам",полная занятость,"удаленная работа, гибкий график, полный день",ЛАНИТ,HTML-верстальщик,07.05.2019 12:17,Не указано,высшее,М,24,31.0,город-миллионник,True,False,True,True
7118,60000 руб.,Инженер / Начальник участка,"Черкизово (Московская область, Пушкинский район) , не готов к переезду , готов к командировкам",полная занятость,"полный день, сменный график",гр. компаний СМАИЛ,Бригадир монтажников/ кабельщиков-спайщиков ВОЛС,16.04.2019 19:58,Не указано,высшее,М,35,171.0,другие,False,True,False,False
7296,90000 руб.,Product Owner,"Озерск (Челябинская область) , хочу переехать (Москва, Санкт-Петербург, Екатеринбург) , не готова к командировкам",полная занятость,полный день,Альтернативная команда для бизнеса,Менеджер по работе с клиентами,13.04.2019 13:31,Не указано,высшее,Ж,35,94.0,другие,True,False,True,True
7457,100000 руб.,Pentester,"Омск , хочу переехать (Москва, Нидерланды, Санкт-Петербург, Новосибирск, Австрия, Чехия, Польша, Новая Зеландия, Люксембург, Норвегия, ОАЭ, Бельгия, Великобритания, США, Швеция, Греция, Германия, Дания, Нур-Султан, Ирландия, Финляндия, Испания, Франция, И","проектная работа, стажировка, волонтерство, частичная занятость, полная занятость","удаленная работа, гибкий график, полный день",freelancer,Senior Information Security Specialist,26.04.2019 19:46,Не указано,неоконченное высшее,М,34,139.0,город-миллионник,True,False,True,True
8020,50000 руб.,Инженер-проектировщик КИП,"Уфа , готова к переезду (Москва, Санкт-Петербург, Республика Карелия, Казань, Челябинск) , не готова к командировкам","стажировка, проектная работа, полная занятость","полный день, удаленная работа","ООО ""Нефтепромавтоматика""",Проектировщик 1 категории,16.04.2019 12:04,Не указано,высшее,Ж,26,61.0,город-миллионник,True,False,True,True
8069,30000 руб.,Системный администратор,"Новосибирск ,  м. Сибирская , хочу переехать (Вознесенская (Краснодарский край), Санкт-Петербург, Севастополь, Симферополь, Евпатория, Бийск, Выборг, Феодосия, Ялта, Барнаул, Псков, Сестрорецк, Самара, Таганрог, Астрахань, Беларусь, Тамань, Кисловодск, См","стажировка, волонтерство, частичная занятость, проектная работа, полная занятость","гибкий график, полный день, сменный график, вахтовый метод, удаленная работа",ООО «МиксТрэвел»,Системный администратор,15.04.2019 19:09,Не указано,высшее,М,26,32.0,город-миллионник,True,False,True,True
8090,32000 руб.,Оператор,"Ногинск , готова к переезду (Москва, Московская область) , не готова к командировкам",полная занятость,сменный график,"Финансовый стандарт  КБ, ООО","Кассир-операционист, валютный кассир дополнительного офиса",12.05.2019 13:19,Не указано,среднее специальное,Ж,46,181.0,другие,True,False,True,True
8475,90000 руб.,Рroject Manager,"Кстово , готов к переезду (Москва, Московская область, Рязанская область, Вологодская область, Костромская область, Удмуртская Республика, Ярославская область, Нижегородская область, Республика Марий Эл, Чувашская Республика, Владимирская область, Тверска",полная занятость,полный день,"ЛУКОЙЛ-ИНФОРМ ООО, филиал в г.Кстово",Старший менеджер по ИТО,26.04.2019 11:41,Не указано,высшее,М,45,230.0,другие,True,False,True,True
8623,650 AZN,Специалист Helpdesk,"Баку , готов к переезду (Испания, Словения, Германия, Исландия) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа",Aztelekom LLC,Специалист Helpdesk,25.04.2019 21:10,Имеется собственный автомобиль,высшее,М,28,57.0,другие,True,False,True,True
8789,10000 руб.,Администратор Linux,"Санкт-Петербург , готов к переезду (Республика Зимбабве, Кипр) , не готов к командировкам",частичная занятость,удаленная работа,Скрыто,Ведущий системный администратор,25.04.2019 14:29,Не указано,среднее специальное,М,37,164.0,Санкт-Петербург,True,False,True,True
9439,45000 руб.,Специалист по IT,"Наро-Фоминск , готов к переезду (Москва, Балабаново, Селятино, Солнцево (Московская область), Апрелевка, Ново-Переделкино, Переделкино, Обнинск, Малоярославец) , не готов к командировкам",полная занятость,"гибкий график, полный день, сменный график, удаленная работа",Пенсионный фонд Российской Федерации,ГЛАВНЫЙ СПЕЦИАЛИСТ-ЭКСПЕРТ ОТДЕЛА АВТОМАТИЗАЦИИ,08.04.2019 13:12,Не указано,высшее,М,28,68.0,другие,True,False,True,True
9509,75000 руб.,"инженер, начальник отдела","Чита , готов к переезду (Ангарск, Калининград) , не готов к командировкам",полная занятость,"полный день, сменный график","АО ""Компания ТрансТелеКом""",начальник эксплуатационно-технического участка,22.04.2019 10:26,Имеется собственный автомобиль,высшее,М,33,128.0,другие,True,False,True,True
